"","ID","cagb","cbgb","ctotal4inv","tot_area","inter_area"
"100","CR245213",69.2,15.22,103.21,4644142.68055308,2247831.27635525
"101","CR245213",12.03,12.03,41.31,97816089.3538676,776833.552332938
"102","CR245213",69.2,15.22,103.21,153188418.530693,455413.125613913
"103","CR245213",4.17,13.94,18.49,295638357.287417,4722049.17713368
"104","CR245213",7.4,17.58,26.79,260574841.560841,29771.5983513384
"105","CR245213",121.92,29.26,167.46,9175818445.38099,348274717.065575
"106","CR245213",69.2,15.22,103.21,121338081.723975,7914260.58523377
"107","CR245213",12.03,12.03,41.31,29583608722.5417,1252940403.96952
"108","CR245213",69.2,15.22,103.21,16061499629.525,87529530.0919393
"109","CR245213",4.17,13.94,18.49,22586617110.3508,71170878.4429301
"110","CR245213",7.4,17.58,26.79,40342699535.1182,948721177.40279
"111","CR245214",121.92,29.26,167.46,1541431768.41478,119022175.057925
"112","CR245214",12.03,12.03,41.31,97816089.3538676,295309.097570286
"113","CR245214",69.2,15.22,103.21,153188418.530693,289690.646970675
"114","CR245214",4.17,13.94,18.49,295638357.287417,317078.192730407
"115","CR245214",7.4,17.58,26.79,260574841.560841,143007.12836117
"116","CR245214",3.93,13.12,17.49,265322010.074283,5663976.55025638
"117","CR245214",121.92,29.26,167.46,9175818445.38099,530919430.790617
"118","CR245214",65.98,6.6,81.73,2423764165.82006,96128701.2552567
"119","CR245214",69.2,15.22,103.21,121338081.723975,485635.120261267
"120","CR245214",12.03,12.03,41.31,29583608722.5417,1187565108.5838
"121","CR245214",69.2,15.22,103.21,16061499629.525,209539645.665926
"122","CR245214",4.17,13.94,18.49,22586617110.3508,273739240.251636
"123","CR245214",7.4,17.58,26.79,40342699535.1182,380285469.690016
"124","CR245214",3.93,13.12,17.49,9128615736.79685,145576688.51948
"125","CR245215",84.38,20.25,127.54,56962027.0859014,5824721.55821294
"126","CR245215",121.92,29.26,167.46,1541431768.41478,123949217.398822
"127","CR245215",12.03,12.03,41.31,97816089.3538676,262489.857492187
"128","CR245215",69.2,15.22,103.21,153188418.530693,98881.3100301781
"129","CR245215",7.4,17.58,26.79,260574841.560841,43319471.9093577
"130","CR245215",3.93,13.12,17.49,265322010.074283,73862193.1966267
"131","CR245215",84.38,20.25,127.54,1217112877.57952,8623772.93895461
"132","CR245215",121.92,29.26,167.46,9175818445.38099,75325248.6151489
"133","CR245215",12.03,12.03,41.31,29583608722.5417,996002042.1199
"134","CR245215",69.2,15.22,103.21,16061499629.525,54389589.8560955
"135","CR245215",7.4,17.58,26.79,40342699535.1182,604360710.490916
"136","CR245215",3.93,13.12,17.49,9128615736.79685,916061467.077896
"137","CR245216",69.38,16.65,104.87,39308410.2945529,4207077.14636469
"138","CR245216",84.38,20.25,127.54,56962027.0859014,5120167.97808567
"139","CR245216",121.92,29.26,167.46,1541431768.41478,265314558.496374
"140","CR245216",12.03,12.03,41.31,97816089.3538676,13514295.3340862
"141","CR245216",69.2,15.22,103.21,153188418.530693,0.870040934873032
"142","CR245216",4.17,13.94,18.49,295638357.287417,1844432.48499254
"143","CR245216",7.4,17.58,26.79,260574841.560841,17777696.4974764
"144","CR245216",69.38,16.65,104.87,2721048821.58053,129546073.656607
"145","CR245216",84.38,20.25,127.54,1217112877.57952,25554862.452911
"146","CR245216",121.92,29.26,167.46,9175818445.38099,415145398.426542
"147","CR245216",12.03,12.03,41.31,29583608722.5417,191463613.568626
"148","CR245216",69.2,15.22,103.21,16061499629.525,417642.675978988
"149","CR245216",4.17,13.94,18.49,22586617110.3508,55391347.1467651
"150","CR245216",7.4,17.58,26.79,40342699535.1182,63051301.8781388
"151","CR245217",69.38,16.65,104.87,39308410.2945529,3697965.77306939
"152","CR245217",84.38,20.25,127.54,56962027.0859014,22961264.555264
"153","CR245217",12.03,12.03,41.31,97816089.3538676,3680607.81811773
"154","CR245217",7.4,17.58,26.79,260574841.560841,30346969.9603757
"155","CR245217",66.43,14.62,99.09,51728225.7875744,7933618.76228034
"156","CR245217",88.62,21.27,121.72,5215427.34658625,56122.9378685434
"157","CR245217",69.38,16.65,104.87,2721048821.58053,68609700.7810031
"158","CR245217",84.38,20.25,127.54,1217112877.57952,86853314.5178571
"159","CR245217",121.92,29.26,167.46,9175818445.38099,45373.4250999503
"160","CR245217",12.03,12.03,41.31,29583608722.5417,36409022.1588824
"161","CR245217",7.4,17.58,26.79,40342699535.1182,98008507.9496913
"162","CR245217",59.82,13.76,81.56,1678131990.24472,57.593169210013
"163","CR245218",121.92,29.26,167.46,1541431768.41478,29561064.6638617
"164","CR245218",4.17,13.94,18.49,295638357.287417,20549896.1381833
"165","CR245218",7.4,17.58,26.79,260574841.560841,14976285.2716741
"166","CR245218",3.93,13.12,17.49,265322010.074283,1248693.78466499
"167","CR245218",121.92,29.26,167.46,18895917.7058813,2052852.02342382
"168","CR245218",5.95,19.87,26.51,33097646.9561079,219806.732061695
"169","CR245218",69.38,16.65,104.87,2721048821.58053,156859340.642995
"170","CR245218",84.38,20.25,127.54,1217112877.57952,12241718.3028061
"171","CR245218",121.92,29.26,167.46,9175818445.38099,134978919.849342
"172","CR245218",4.17,13.94,18.49,22586617110.3508,483451893.197658
"173","CR245218",7.4,17.58,26.79,40342699535.1182,148081093.292772
"174","CR245218",59.82,13.76,81.56,1678131990.24472,86804.2449594669
"175","CR245218",3.93,13.12,17.49,9128615736.79685,178704694.607506
"176","CR245218",121.92,29.26,167.46,96142305.7910858,1916363.03445513
"177","CR245218",5.95,19.87,26.51,5083006879.66243,176445.364974984
"178","CR245219",69.38,16.65,104.87,39308410.2945529,26284952.5831166
"179","CR245219",121.92,29.26,167.46,1541431768.41478,15581614.036471
"180","CR245219",4.17,13.94,18.49,295638357.287417,237600.249425991
"181","CR245219",7.4,17.58,26.79,260574841.560841,73608.5811609887
"182","CR245219",66.43,14.62,99.09,51728225.7875744,3350867.20166466
"183","CR245219",3.93,13.12,17.49,265322010.074283,15237728.544753
"184","CR245219",121.92,29.26,167.46,18895917.7058813,1075651.74712327
"185","CR245219",5.95,19.87,26.51,33097646.9561079,130630.006427515
"186","CR245219",69.38,16.65,104.87,2721048821.58053,234517954.030945
"187","CR245219",84.38,20.25,127.54,1217112877.57952,339944391.589583
"188","CR245219",121.92,29.26,167.46,9175818445.38099,50169278.3346635
"189","CR245219",4.17,13.94,18.49,22586617110.3508,5862165.34267441
"190","CR245219",7.4,17.58,26.79,40342699535.1182,1978283.86133126
"191","CR245219",4.31,7.15,11.96,4374957526.94904,276590781.745461
"192","CR245219",66.43,14.62,99.09,3678131586.99298,379588479.078474
"193","CR245219",3.93,13.12,17.49,9128615736.79685,726142860.618585
"194","CR245219",121.92,29.26,167.46,96142305.7910858,53768824.7762046
"195","CR245219",5.95,19.87,26.51,5083006879.66243,1571772.27624183
"196","CR245220",121.92,29.26,167.46,1541431768.41478,34456119.4172336
"197","CR245220",66.43,14.62,99.09,51728225.7875744,122109.657450067
"198","CR245220",3.93,13.12,17.49,265322010.074283,43014751.7527486
"199","CR245220",5.95,19.87,26.51,33097646.9561079,11696234.9413809
"200","CR245220",121.92,29.26,167.46,9175818445.38099,85471136.2334325
"201","CR245220",66.43,14.62,99.09,3678131586.99298,38379923.7950481
"202","CR245220",3.93,13.12,17.49,9128615736.79685,1965176162.91087
"203","CR245220",5.95,19.87,26.51,5083006879.66243,538926523.056601
"204","CR245221",121.92,29.26,167.46,1541431768.41478,4799455.22544715
"205","CR245221",69.2,15.22,103.21,153188418.530693,4297.20361137763
"206","CR245221",4.31,7.15,11.96,2270133.08412391,147021.6338787
"207","CR245221",3.93,13.12,17.49,265322010.074283,18252931.1759397
"208","CR245221",5.95,19.87,26.51,33097646.9561079,6416384.98815274
"209","CR245221",121.92,29.26,167.46,9175818445.38099,15879706.5038256
"210","CR245221",69.2,15.22,103.21,16061499629.525,2996400.02013901
"211","CR245221",4.31,7.15,11.96,4374957526.94904,503338695.669534
"212","CR245221",66.43,14.62,99.09,3678131586.99298,121423260.825335
"213","CR245221",3.93,13.12,17.49,9128615736.79685,829921146.512727
"214","CR245221",5.95,19.87,26.51,5083006879.66243,1340365603.88241
"215","CR245222",121.92,29.26,167.46,1541431768.41478,11674023.5395092
"216","CR245222",4.31,7.15,11.96,2270133.08412391,104165.414139189
"217","CR245222",66.43,14.62,99.09,51728225.7875744,29799.5574502116
"218","CR245222",3.93,13.12,17.49,265322010.074283,4737538.09610828
"219","CR245222",5.95,19.87,26.51,33097646.9561079,1920756.73044131
"220","CR245222",88.62,21.27,121.72,5215427.34658625,484131.81486462
"221","CR245222",69.38,16.65,104.87,2721048821.58053,316829081.282017
"222","CR245222",84.38,20.25,127.54,1217112877.57952,25686296.3602215
"223","CR245222",121.92,29.26,167.46,9175818445.38099,102459577.956886
"224","CR245222",69.2,15.22,103.21,16061499629.525,28062405.586977
"225","CR245222",4.31,7.15,11.96,4374957526.94904,563361005.356076
"226","CR245222",66.43,14.62,99.09,3678131586.99298,281606893.543995
"227","CR245222",3.93,13.12,17.49,9128615736.79685,442070319.210246
"228","CR245222",5.95,19.87,26.51,5083006879.66243,606120529.495149
"229","CR245223",69.38,16.65,104.87,39308410.2945529,3459.57845260482
"230","CR245223",121.92,29.26,167.46,1541431768.41478,3112695.43357949
"231","CR245223",3.93,13.12,17.49,265322010.074283,1774599.21252327
"232","CR245223",5.95,19.87,26.51,33097646.9561079,465461.717329808
"233","CR245223",88.62,21.27,121.72,5215427.34658625,2314010.17333609
"234","CR245223",69.38,16.65,104.87,2721048821.58053,970764046.458146
"235","CR245223",84.38,20.25,127.54,1217112877.57952,36355019.6590371
"236","CR245223",121.92,29.26,167.46,9175818445.38099,57564961.4924807
"237","CR245223",69.2,15.22,103.21,16061499629.525,6085232.71020345
"238","CR245223",120.58,28.94,167.16,5020373.75186332,466789.393808847
"239","CR245223",4.31,7.15,11.96,4374957526.94904,8770821.65609663
"240","CR245223",66.43,14.62,99.09,3678131586.99298,107202400.506026
"241","CR245223",3.93,13.12,17.49,9128615736.79685,133503996.518238
"242","CR245223",5.95,19.87,26.51,5083006879.66243,489971750.818267
"243","CR245224",121.92,29.26,167.46,1541431768.41478,5347273.15255803
"244","CR245224",7.4,17.58,26.79,260574841.560841,312960.633572146
"245","CR245224",120.58,28.94,167.16,3054.01254595816,3054.01254595816
"246","CR245224",4.31,7.15,11.96,2270133.08412391,562531.392642817
"247","CR245224",3.93,13.12,17.49,265322010.074283,2773120.23497765
"248","CR245224",69.38,16.65,104.87,2721048821.58053,286995839.800953
"249","CR245224",121.92,29.26,167.46,9175818445.38099,89689590.8961465
"250","CR245224",7.4,17.58,26.79,40342699535.1182,119238.864384107
"251","CR245224",120.58,28.94,167.16,5020373.75186332,3494677.72034947
"252","CR245224",4.31,7.15,11.96,4374957526.94904,252811864.369811
"253","CR245224",66.43,14.62,99.09,3678131586.99298,227097021.407496
"254","CR245224",3.93,13.12,17.49,9128615736.79685,23775615.0738162
"255","CR245224",121.92,29.26,167.46,96142305.7910858,21742397.7629632
"256","CR245224",5.95,19.87,26.51,5083006879.66243,357983674.471432
"257","CR245225",121.92,29.26,167.46,1541431768.41478,7338716.40994871
"258","CR245225",7.4,17.58,26.79,260574841.560841,768307.142359584
"259","CR245225",3.93,13.12,17.49,265322010.074283,130488.867363972
"260","CR245225",69.38,16.65,104.87,2721048821.58053,107039.964134706
"261","CR245225",84.38,20.25,127.54,1217112877.57952,5070.12637576088
"262","CR245225",121.92,29.26,167.46,9175818445.38099,57795402.9462472
"263","CR245225",7.4,17.58,26.79,40342699535.1182,897643.20396399
"264","CR245225",66.43,14.62,99.09,3678131586.99298,134458458.690948
"265","CR245225",3.93,13.12,17.49,9128615736.79685,1838000.7814565
"266","CR245225",5.95,19.87,26.51,5083006879.66243,177364577.006391
"267","CR246212",12.03,12.03,41.31,29583608722.5417,3504414.92061762
"268","CR246212",7.4,17.58,26.79,40342699535.1182,42330.3643886
"269","CR246213",65.98,6.6,81.73,22149205.5823745,407190.623447286
"270","CR246213",12.03,12.03,41.31,97816089.3538676,605474.836038154
"271","CR246213",69.2,15.22,103.21,153188418.530693,2018070.41852371
"272","CR246213",4.17,13.94,18.49,295638357.287417,199557.771150543
"273","CR246213",7.4,17.58,26.79,260574841.560841,134471.083088425
"274","CR246213",121.92,29.26,167.46,9175818445.38099,32124538.1297416
"275","CR246213",65.98,6.6,81.73,2423764165.82006,164227243.043079
"276","CR246213",12.03,12.03,41.31,29583608722.5417,1190493579.46095
"277","CR246213",69.2,15.22,103.21,16061499629.525,298111692.689919
"278","CR246213",4.17,13.94,18.49,22586617110.3508,192043035.999
"279","CR246213",7.4,17.58,26.79,40342699535.1182,128620969.594849
"280","CR246214",121.92,29.26,167.46,1541431768.41478,129883717.708677
"281","CR246214",65.98,6.6,81.73,22149205.5823745,1534537.82107612
"282","CR246214",12.03,12.03,41.31,97816089.3538676,39431.4568241206
"283","CR246214",69.2,15.22,103.21,153188418.530693,47767.7628466245
"284","CR246214",4.17,13.94,18.49,295638357.287417,29945349.2510253
"285","CR246214",7.4,17.58,26.79,260574841.560841,2200832.8899792
"286","CR246214",4.31,7.15,11.96,2270133.08412391,164341.117047247
"287","CR246214",3.93,13.12,17.49,265322010.074283,58573.0749692423
"288","CR246214",121.92,29.26,167.46,9175818445.38099,477482769.60812
"289","CR246214",65.98,6.6,81.73,2423764165.82006,158786651.084106
"290","CR246214",12.03,12.03,41.31,29583608722.5417,570555236.359483
"291","CR246214",69.2,15.22,103.21,16061499629.525,25613243.4732803
"292","CR246214",4.17,13.94,18.49,22586617110.3508,479481871.751465
"293","CR246214",7.4,17.58,26.79,40342699535.1182,373565268.002412
"294","CR246214",4.31,7.15,11.96,4374957526.94904,497719580.717038
"295","CR246214",66.43,14.62,99.09,3678131586.99298,113024704.369076
"296","CR246214",3.93,13.12,17.49,9128615736.79685,89872790.5515083
"297","CR246215",84.38,20.25,127.54,56962027.0859014,0.258614200807642
"298","CR246215",121.92,29.26,167.46,1541431768.41478,78278928.3861647
"299","CR246215",65.98,6.6,81.73,22149205.5823745,181242.031133633
"300","CR246215",12.03,12.03,41.31,97816089.3538676,3500797.55166528
"301","CR246215",69.2,15.22,103.21,153188418.530693,473452.112421666
"302","CR246215",4.17,13.94,18.49,295638357.287417,2096002.97950836
"303","CR246215",7.4,17.58,26.79,260574841.560841,11496289.3142778
"304","CR246215",66.43,14.62,99.09,51728225.7875744,599754.746330586
"305","CR246215",3.93,13.12,17.49,265322010.074283,70952316.6128189
"306","CR246215",121.92,29.26,167.46,18895917.7058813,3.58762004691291
"307","CR246215",121.92,29.26,167.46,9175818445.38099,490249237.891019
"308","CR246215",65.98,6.6,81.73,2423764165.82006,302238056.588092
"309","CR246215",69.2,15.22,103.21,121338081.723975,0.6349200126715
"310","CR246215",12.03,12.03,41.31,29583608722.5417,109671796.916864
"311","CR246215",69.2,15.22,103.21,16061499629.525,5976178.65001356
"312","CR246215",4.17,13.94,18.49,22586617110.3508,324753968.2451
"313","CR246215",7.4,17.58,26.79,40342699535.1182,396203841.712393
"314","CR246215",4.31,7.15,11.96,4374957526.94904,51618945.1441008
"315","CR246215",66.43,14.62,99.09,3678131586.99298,773741410.033416
"316","CR246215",3.93,13.12,17.49,9128615736.79685,320271565.868607
"317","CR246216",121.92,29.26,167.46,1541431768.41478,216299035.293552
"318","CR246216",12.03,12.03,41.31,97816089.3538676,4898773.0820713
"319","CR246216",69.2,15.22,103.21,153188418.530693,1464541.97585238
"320","CR246216",4.17,13.94,18.49,295638357.287417,36680436.2540315
"321","CR246216",7.4,17.58,26.79,260574841.560841,2007049.51064806
"322","CR246216",121.92,29.26,167.46,18895917.7058813,1924997.80900117
"323","CR246216",69.38,16.65,104.87,2721048821.58053,6.09592376389446
"324","CR246216",84.38,20.25,127.54,1217112877.57952,1.65015564907741
"325","CR246216",121.92,29.26,167.46,9175818445.38099,807879887.974613
"326","CR246216",12.03,12.03,41.31,29583608722.5417,215440232.178866
"327","CR246216",69.2,15.22,103.21,16061499629.525,237324645.52696
"328","CR246216",4.17,13.94,18.49,22586617110.3508,906383627.116665
"329","CR246216",7.4,17.58,26.79,40342699535.1182,454781187.171989
"330","CR246216",59.82,13.76,81.56,1678131990.24472,1.86518608778715
"331","CR246216",4.31,7.15,11.96,4374957526.94904,49333221.4902911
"332","CR246216",66.43,14.62,99.09,3678131586.99298,6.62960123640729
"333","CR246216",3.93,13.12,17.49,9128615736.79685,8.87000618104334
"334","CR246216",121.92,29.26,167.46,96142305.7910858,0.270038414924784
"335","CR246216",5.95,19.87,26.51,5083006879.66243,8.12468823338713
"336","CR246217",69.38,16.65,104.87,39308410.2945529,32163.7348924252
"337","CR246217",84.38,20.25,127.54,56962027.0859014,18669639.3206372
"338","CR246217",121.92,29.26,167.46,1541431768.41478,36901080.8611407
"339","CR246217",12.03,12.03,41.31,97816089.3538676,818635.862199596
"340","CR246217",4.17,13.94,18.49,295638357.287417,13009352.875956
"341","CR246217",7.4,17.58,26.79,260574841.560841,44280093.6475566
"342","CR246217",66.43,14.62,99.09,51728225.7875744,25.8945338465273
"343","CR246217",3.93,13.12,17.49,265322010.074283,372622.736470486
"344","CR246217",121.92,29.26,167.46,18895917.7058813,5741067.58316512
"345","CR246217",88.62,21.27,121.72,5215427.34658625,90420.2547466932
"346","CR246217",69.38,16.65,104.87,2721048821.58053,20431230.6795805
"347","CR246217",84.38,20.25,127.54,1217112877.57952,82075877.2882217
"348","CR246217",121.92,29.26,167.46,9175818445.38099,266090439.405186
"349","CR246217",12.03,12.03,41.31,29583608722.5417,280904502.374004
"350","CR246217",69.2,15.22,103.21,16061499629.525,35415048.2136943
"351","CR246217",4.17,13.94,18.49,22586617110.3508,320069478.932357
"352","CR246217",7.4,17.58,26.79,40342699535.1182,1788722089.73317
"353","CR246217",4.31,7.15,11.96,4374957526.94904,43858.1084044045
"354","CR246217",66.43,14.62,99.09,3678131586.99298,149.6905195117
"355","CR246217",3.93,13.12,17.49,9128615736.79685,238512.96753597
"356","CR246217",5.95,19.87,26.51,5083006879.66243,682777.415407847
"357","CR246218",121.92,29.26,167.46,1541431768.41478,9131439.71429405
"358","CR246218",4.17,13.94,18.49,295638357.287417,7290712.9367619
"359","CR246218",7.4,17.58,26.79,260574841.560841,1112509.58608132
"360","CR246218",121.92,29.26,167.46,9175818445.38099,264986792.835597
"361","CR246218",12.03,12.03,41.31,29583608722.5417,28189280.0474701
"362","CR246218",69.2,15.22,103.21,16061499629.525,290082789.554056
