"","ID","cagb","cbgb","ctotal4inv","tot_area","inter_area"
"132","CR248241",1.03,4.74,9.4,38709766590.8987,2059713594.32876
"133","CR248241",1.03,4.74,9.4,5133580946.8382,3.03046399261802
"134","CR248242",98.7,23.69,136.17,1508142488.00348,35128.9982911274
"135","CR248242",120.58,28.94,167.16,7036463465.53076,682242.19957789
"136","CR248242",1.03,4.74,9.4,637188597.606285,921586.523804933
"137","CR248242",120.58,28.94,167.16,7076299902.76571,144001209.710359
"138","CR248242",1.03,4.74,9.4,38709766590.8987,343078254.296566
"139","CR249237",120.58,28.94,167.16,145448273.911623,627237.004905539
"140","CR249237",1.03,4.74,9.4,95776736.0845105,6.72386081663582
"141","CR249237",98.7,23.69,136.17,1508142488.00348,9504441.20362693
"142","CR249237",120.58,28.94,167.16,7036463465.53076,35071572.5883735
"143","CR249237",1.03,4.74,9.4,637188597.606285,4207357.17032711
"144","CR249237",0.73,0.77,5.13,300672690.150814,1121041.94193197
"145","CR249237",1.04,10.15,12.77,11047968253.7415,17099023.2754702
"146","CR249237",0.73,0.77,5.13,47898053374.4299,268128668.160792
"147","CR249237",0.73,0.77,5.13,8897202843.17605,233718.5600068
"148","CR249237",85.73,20.17,112.98,6508378.17555545,2.23257735278457
"149","CR249237",0,0,0,1107339646.40207,5.843754156871
"150","CR249237",1.03,4.74,9.4,38709766590.8987,438957353.640205
"151","CR249237",37.74,10.58,55.41,11213427796.265,0.481395759505076
"152","CR249237",1.04,10.15,12.77,3925420194.41519,70033686.4827679
"153","CR249237",1.03,4.74,9.4,5133580946.8382,16810190.3165344
"154","CR249237",1.04,10.15,12.77,10276555269.6776,72324716.1535468
"155","CR249238",98.7,23.69,136.17,78125595.3831807,47880.5973613327
"156","CR249238",120.58,28.94,167.16,145448273.911623,1172324.60720134
"157","CR249238",1.03,4.74,9.4,95776736.0845105,1092514.64558445
"158","CR249238",98.7,23.69,136.17,1508142488.00348,43380574.5890072
"159","CR249238",120.58,28.94,167.16,7036463465.53076,71644749.5608131
"160","CR249238",1.03,4.74,9.4,637188597.606285,21275709.4169254
"161","CR249238",0.73,0.77,5.13,300672690.150814,13298798.3860096
"162","CR249238",1.04,10.15,12.77,11047968253.7415,3134484.40063068
"163","CR249238",1.04,10.15,12.77,1428680311.19128,4.76081341539975
"164","CR249238",0.73,0.77,5.13,47898053374.4299,1082719588.81766
"165","CR249238",1.03,4.74,9.4,38709766590.8987,1135589041.77882
"166","CR249238",37.74,10.58,55.41,11213427796.265,10.9133575978758
"167","CR249238",1.03,4.74,9.4,5133580946.8382,151816932.770191
"168","CR249238",1.04,10.15,12.77,10276555269.6776,180942642.193655
"169","CR249239",98.7,23.69,136.17,78125595.3831807,1735492.08602529
"170","CR249239",120.58,28.94,167.16,145448273.911623,649294.870282409
"171","CR249239",1.03,4.74,9.4,95776736.0845105,481834.163636819
"172","CR249239",98.7,23.69,136.17,1508142488.00348,18808576.8549918
"173","CR249239",120.58,28.94,167.16,7036463465.53076,77389332.2679984
"174","CR249239",1.03,4.74,9.4,637188597.606285,14266505.9368323
"175","CR249239",0.73,0.77,5.13,300672690.150814,11442737.8341191
"176","CR249239",1.04,10.15,12.77,11047968253.7415,1575594.15027889
"177","CR249239",0.73,0.77,5.13,47898053374.4299,1740947353.29846
"178","CR249239",0.73,0.77,5.13,43692704.2308405,7172320.85225455
"179","CR249239",0.73,0.77,5.13,8897202843.17605,95771950.2022155
"180","CR249239",120.58,28.94,167.16,7076299902.76571,13.7471177722308
"181","CR249239",1.03,4.74,9.4,38709766590.8987,636044284.451252
"182","CR249239",1.03,4.74,9.4,5133580946.8382,75308675.0567276
"183","CR249239",1.04,10.15,12.77,10276555269.6776,11906657.1396277
"184","CR249240",98.7,23.69,136.17,78125595.3831807,316267.593705033
"185","CR249240",120.58,28.94,167.16,145448273.911623,1949289.05650964
"186","CR249240",98.7,23.69,136.17,1508142488.00348,34199955.1610093
"187","CR249240",120.58,28.94,167.16,7036463465.53076,178729385.085132
"188","CR249240",1.03,4.74,9.4,637188597.606285,24747988.52506
"189","CR249240",0.73,0.77,5.13,300672690.150814,13219463.4527917
"190","CR249240",1.04,10.15,12.77,11047968253.7415,1.51886502280831
"191","CR249240",0.73,0.77,5.13,47898053374.4299,1105533669.45089
"192","CR249240",0.73,0.77,5.13,43692704.2308405,84865.4611166726
"193","CR249240",0.73,0.77,5.13,8897202843.17605,168996293.434282
