"","ID","cagb","cbgb","ctotal4inv","tot_area","inter_area"
"133","CR251226",26.69,16.94,51.63,3041293751.60737,12054380.5709773
"134","CR251226",96.5,22.68,125.79,6682562518.15512,308826.978228041
"135","CR251226",96.5,22.68,125.79,159172.54386821,65.0226742894786
"136","CR251226",96.5,22.68,125.79,223170623973.518,1829937727.00019
"137","CR251226",3.48,8.26,12.57,769.965445516055,45.6500203476028
"138","CR251226",96.5,22.68,125.79,120.413473060302,12.2304757762866
"139","CR251226",1.96,6.55,8.69,15623532977.9728,196792.296832599
"140","CR251226",3.48,8.26,12.57,12379608597.4653,886102676.391807
"141","CR251226",3.48,8.26,12.57,9737190.22215178,346881.904879774
"142","CR251227",58.05,11.9,78.16,874993.005831481,1.52662747633547
"143","CR251227",58.05,11.9,78.16,16837161831.262,9453618.90493775
"144","CR251227",26.69,16.94,51.63,3041293751.60737,23714671.4220655
"145","CR251227",96.5,22.68,125.79,159172.54386821,8.49262467519338
"146","CR251227",96.5,22.68,125.79,223170623973.518,1320975553.78838
"147","CR251227",3.48,8.26,12.57,769.965445516055,79.6299320435968
"148","CR251227",108.3,25.45,142.14,9873.49731908469,4.23696725908667
"149","CR251227",21.58,4.75,32.12,8875020483.94831,1979341.82012238
"150","CR251227",3.48,8.26,12.57,12379608597.4653,1476542548.13953
"151","CR251227",3.48,8.26,12.57,9737190.22215178,592049.98659333
"152","CR251227",8.13,4.31,13.24,1440.80063312784,10.7700660898446
"153","CR251227",8.13,4.31,13.24,213.919170204406,9.87215361025635
"154","CR251228",58.05,11.9,78.16,874993.005831481,27.9096248416098
"155","CR251228",58.05,11.9,78.16,16837161831.262,181764358.204795
"156","CR251228",74.1,19.6,106.4,35288774178.4346,553439.877406387
"157","CR251228",96.5,22.68,125.79,159172.54386821,61.7726033022083
"158","CR251228",96.5,22.68,125.79,223170623973.518,1368790960.79073
"159","CR251228",49.26,10.1,64.69,781.635298669229,7.74502905551344
"160","CR251228",1.96,6.55,8.69,15623532977.9728,34629520.5083739
"161","CR251228",3.48,8.26,12.57,12379608597.4653,472199938.094543
"162","CR251228",3.48,8.26,12.57,9737190.22215178,184808.540787961
"163","CR251228",8.13,4.31,13.24,1440.80063312784,19.3864869989255
"164","CR251228",8.13,4.31,13.24,213.919170204406,6.77169517544098
"165","CR251231",74.1,19.6,106.4,35288774178.4346,227327.362949745
"166","CR251231",96.5,22.68,125.79,6682562518.15512,64366891.0110063
"167","CR251231",96.5,22.68,125.79,223170623973.518,73291675.9631549
"168","CR251232",96.5,22.68,125.79,223170623973.518,77317600.6698647
"169","CR251236",58.05,11.9,78.16,874993.005831481,3.25233221591365
"170","CR251236",74.1,19.6,106.4,35288774178.4346,1876476755.86496
"171","CR251236",0,0,0,23045931.6847714,1564794.85357329
"172","CR251236",0,0,0,87276482.5198395,532373.809063712
"173","CR251236",52.17,10.69,68.34,6166152202.60102,206535209.275953
"174","CR251236",74.1,19.6,106.4,365235745.179879,7451806.7105848
"175","CR251236",74.1,19.6,106.4,334831.078146177,254.078550646145
"176","CR251236",74.1,19.6,106.4,268.787538389606,9.94313839636743
"177","CR251236",127.1,29.9,173.8,3213.98822363569,11.6722253691133
"178","CR251237",58.05,11.9,78.16,874993.005831481,20.3997806598351
"179","CR251237",0.8,0.16,1.05,4328705446.78249,41253563.4815316
"180","CR251237",74.1,19.6,106.4,35288774178.4346,1300697445.67401
"181","CR251237",88.6,21.3,121.8,1582498249.22205,11651151.6593633
"182","CR251237",52.17,10.69,68.34,6166152202.60102,310580150.787367
"183","CR251237",74.1,19.6,106.4,334831.078146177,267.908203208735
"184","CR251237",127.1,29.9,173.8,3213.98822363569,16.7269411390589
"185","CR251237",140,32.9,182.88,606242.148995724,6.55067862368521
"186","CR251237",0.72,4.64,8.99,43713904184.6993,8824653.02649283
"187","CR251237",0.72,4.64,8.99,2080.27470617138,8.36068625278246
"188","CR251239",58.05,11.9,78.16,874993.005831481,15.3675768524408
"189","CR251239",0.8,0.16,1.05,4328705446.78249,1001474.81899556
"190","CR251239",62.89,14.78,83.66,864.12132644745,8.57365470397588
"191","CR251239",74.1,19.6,106.4,35288774178.4346,560312817.815709
"192","CR251239",88.6,21.3,121.8,1582498249.22205,803184.742292336
"193","CR251239",58.28,11.95,76,18925969426.8949,24868916.4568963
"194","CR251239",58.14,11.92,75.82,32013625885.6156,74177.2841083701
"195","CR251239",74.1,19.6,106.4,334831.078146177,129.79539403821
"196","CR251239",0.72,4.64,8.99,43713904184.6993,280864293.385966
"197","CR251239",0.72,4.64,8.99,2080.27470617138,14.6511893212122
"198","CR251239",0.72,4.64,8.99,199801150.237931,71807.0659930469
"199","CR251240",74.1,19.6,106.4,35288774178.4346,17947116.379542
"200","CR251240",74.1,19.6,106.4,334831.078146177,0.583203463000245
"201","CR251240",0.72,4.64,8.99,43713904184.6993,1777011.89211936
"202","CR252224",58.05,11.9,78.16,874993.005831481,125.267653972306
"203","CR252224",58.05,11.9,78.16,16837161831.262,514817992.291237
"204","CR252224",58.05,11.9,78.16,4991650.68136407,0.0416982350082269
"205","CR252224",58.05,11.9,78.16,217022634.6137,5326161.67202138
"206","CR252224",21.58,4.75,32.12,1274.71898601576,0.309504228760488
"207","CR252224",96.5,22.68,125.79,6682562518.15512,3523801.42588858
"208","CR252224",96.5,22.68,125.79,159172.54386821,90.8299104770385
"209","CR252224",96.5,22.68,125.79,223170623973.518,1145549108.27411
"210","CR252224",49.26,10.1,64.69,781.635298669229,9.10495747664696
"211","CR252224",1.96,6.55,8.69,1468.59489968438,0.596721070818603
"212","CR252224",63.07,14.82,83.9,31.4803991525511,1.78583777602762
"213","CR252224",78.54,18.46,103.74,13111389031.9598,1860125.97110173
"214","CR252224",12.54,25.59,39.79,17795982470.8765,49355113.330512
"215","CR252224",21.58,4.75,32.12,8875020483.94831,34719965.0571801
"216","CR252224",43.49,15.42,68.5,37917805701.2712,2181703.60940667
"217","CR252224",1.96,6.55,8.69,15623532977.9728,28348144.5705747
"218","CR252224",3.48,8.26,12.57,12379608597.4653,14601842.3169983
"219","CR252225",58.05,11.9,78.16,874993.005831481,72.4511386726486
"220","CR252225",58.05,11.9,78.16,16837161831.262,462673981.12235
"221","CR252225",58.05,11.9,78.16,217022634.6137,620780.78901939
"222","CR252225",26.69,16.94,51.63,3041293751.60737,12951118.8067719
"223","CR252225",96.5,22.68,125.79,6682562518.15512,1657951.62919107
"224","CR252225",96.5,22.68,125.79,159172.54386821,36.3474734119571
"225","CR252225",96.5,22.68,125.79,223170623973.518,2012561909.42176
"226","CR252225",49.26,10.1,64.69,781.635298669229,10.3641602725686
"227","CR252225",1.96,6.55,8.69,97943247.4919248,21102.6446915485
"228","CR252225",1.96,6.55,8.69,1468.59489968438,12.8433040621277
"229","CR252225",1.96,6.55,8.69,15623532977.9728,363124324.765117
"230","CR252226",58.05,11.9,78.16,874993.005831481,0.0248283973914667
"231","CR252226",58.05,11.9,78.16,16837161831.262,9548549.75247438
"232","CR252226",26.69,16.94,51.63,3041293751.60737,33553246.9582884
"233","CR252226",21.58,4.75,32.12,1274.71898601576,8.37692742359273
"234","CR252226",96.5,22.68,125.79,159172.54386821,21.3066987589702
"235","CR252226",96.5,22.68,125.79,223170623973.518,2041510955.27137
"236","CR252226",3.48,8.26,12.57,769.965445516055,12.2984596558717
"237","CR252226",21.58,4.75,32.12,8875020483.94831,68544120.7778021
"238","CR252226",3.48,8.26,12.57,12379608597.4653,690377314.961729
"239","CR252227",58.05,11.9,78.16,874993.005831481,8.09195548737801
"240","CR252227",58.05,11.9,78.16,16837161831.262,187564561.400478
"241","CR252227",26.69,16.94,51.63,3041293751.60737,9848347.77182242
"242","CR252227",96.5,22.68,125.79,159172.54386821,37.0387633746457
"243","CR252227",96.5,22.68,125.79,223170623973.518,2319039891.69112
"244","CR252227",64.25,15.1,85.4,125.720866987225,2.10045014723437
"245","CR252227",78.82,18.52,104.1,3810.12795437838,0.729914601542987
"246","CR252227",108.3,25.45,142.14,9873.49731908469,13.57380086303
"247","CR252227",12.54,25.59,39.79,17795982470.8765,24275530.3153544
"248","CR252227",21.58,4.75,32.12,8875020483.94831,46692743.020244
"249","CR252227",3.48,8.26,12.57,12379608597.4653,167268006.256709
"250","CR252228",58.05,11.9,78.16,874993.005831481,29.9057674130726
"251","CR252228",58.05,11.9,78.16,16837161831.262,106930057.325518
"252","CR252228",58.05,11.9,78.16,4991650.68136407,28.5965702432179
"253","CR252228",58.05,11.9,78.16,217022634.6137,5391698.73888185
"254","CR252228",62.89,14.78,83.66,864.12132644745,3.24623178018373
"255","CR252228",74.1,19.6,106.4,35288774178.4346,1340162.69402693
"256","CR252228",96.5,22.68,125.79,2372.05437399134,134.049470813872
"257","CR252228",96.5,22.68,125.79,6682562518.15512,90778366.5565681
"258","CR252228",96.5,22.68,125.79,159172.54386821,27.8834117986097
"259","CR252228",96.5,22.68,125.79,223170623973.518,1630298219.31294
"260","CR252228",78.54,18.46,103.74,690099291.31069,21827524.2208135
"261","CR252228",49.26,10.1,64.69,781.635298669229,28.0878680431167
"262","CR252228",140,32.9,182.88,606242.148995724,1.83921496826224
"263","CR252228",63.07,14.82,83.9,8.48676416672018,8.48676416672018
"264","CR252228",63.07,14.82,83.9,31.4803991525511,11.2960578399904
"265","CR252228",75.1,17.65,99.48,20230.886689126,39.7136028731547
"266","CR252228",75.1,17.65,99.48,258.22330752632,51.9223665800953
"267","CR252228",108,19,142.7,689.071092212073,0.179046010191087
"268","CR252228",78.54,18.46,103.74,566.856553279013,1.85466654343514
"269","CR252228",78.54,18.46,103.74,2887.36074657586,64.7805684201392
"270","CR252228",78.54,18.46,103.74,13111389031.9598,338212246.173301
"271","CR252228",62.42,14.67,83.05,349.674057630947,5.91647697194765
"272","CR252228",12.54,25.59,39.79,17795982470.8765,125828264.877811
"273","CR252228",79.71,18.73,104.7,162.908344518901,6.55367138795555
"274","CR252228",12.54,25.59,39.79,2.74369573873992,1.24387714359909
"275","CR252228",12.54,25.59,39.79,2180.94170317683,7.48412815155461
"276","CR252228",21.58,4.75,32.12,292.788550699184,5.27438231930137
"277","CR252228",3.48,8.26,12.57,12379608597.4653,82738467.2670264
"278","CR252229",58.05,11.9,78.16,16837161831.262,6277774.97312943
"279","CR252229",58.05,11.9,78.16,217022634.6137,37105457.8774993
"280","CR252229",74.1,19.6,106.4,35288774178.4346,524795.256897077
"281","CR252229",75.1,17.65,99.48,147064357439.877,887371.286793068
"282","CR252229",96.5,22.68,125.79,2372.05437399134,6.13861541720689
"283","CR252229",96.5,22.68,125.79,6682562518.15512,27053280.1905166
"284","CR252229",96.5,22.68,125.79,159172.54386821,28.3150934657549
"285","CR252229",96.5,22.68,125.79,223170623973.518,1434207964.3923
"286","CR252229",78.54,18.46,103.74,690099291.31069,2597622.33812281
"287","CR252229",85.73,20.15,112.96,24962742231.1011,132038.090161279
"288","CR252229",75.1,17.65,99.48,20230.886689126,3.23071318585426
"289","CR252229",78.54,18.46,103.74,2887.36074657586,6.5423599666683
"290","CR252229",78.54,18.46,103.74,13111389031.9598,103710376.168997
"291","CR252230",58.05,11.9,78.16,16837161831.262,15004089.5060502
"292","CR252230",74.1,19.6,106.4,35288774178.4346,4579750.93077773
"293","CR252230",75.1,17.65,99.48,147064357439.877,230502962.15898
"294","CR252230",96.5,22.68,125.79,6682562518.15512,184742893.296016
"295","CR252230",96.5,22.68,125.79,159172.54386821,151.464395023676
"296","CR252230",96.5,22.68,125.79,223170623973.518,1612280128.41825
"297","CR252230",75.1,17.65,99.48,20230.886689126,41.182508992263
"298","CR252230",108.3,25.45,142.14,137471723658.237,11272445.8920737
"299","CR252231",74.1,19.6,106.4,35288774178.4346,1291262.9813511
"300","CR252231",75.1,17.65,99.48,147064357439.877,324890012.39704
"301","CR252231",96.5,22.68,125.79,2372.05437399134,15.8531372812189
"302","CR252231",96.5,22.68,125.79,6682562518.15512,315653992.241744
"303","CR252231",96.5,22.68,125.79,159172.54386821,192.693267276718
"304","CR252231",96.5,22.68,125.79,223170623973.518,1977282199.55789
"305","CR252231",127.1,29.9,173.8,3434789337.86005,84635.1691204619
"306","CR252231",141.1,33.16,180.64,89422123198.9358,147881.446795076
"307","CR252231",75.1,17.65,99.48,20230.886689126,45.7614095073302
"308","CR252231",75.1,17.65,99.48,258.22330752632,1.10258063390996
"309","CR252231",108.3,25.45,142.14,137471723658.237,18134440.2872096
"310","CR252232",58.05,11.9,78.16,16837161831.262,245587.217204286
"311","CR252232",58.05,11.9,78.16,217022634.6137,186017.99652369
"312","CR252232",127.1,29.9,173.8,118398260.132957,2354812.53316165
"313","CR252232",74.1,19.6,106.4,35288774178.4346,272278.505714225
"314","CR252232",96.5,22.68,125.79,6682562518.15512,11422519.8155288
"315","CR252232",96.5,22.68,125.79,159172.54386821,95.9419108304534
"316","CR252232",96.5,22.68,125.79,223170623973.518,385804201.714008
"317","CR252232",127.1,29.9,173.8,3434789337.86005,467496.943187605
"318","CR252232",141.1,33.16,180.64,300242996.124489,715.494533516467
"319","CR252232",141.1,33.16,180.64,89422123198.9358,1644784.3762344
"320","CR252235",74.1,19.6,106.4,35288774178.4346,602954557.521016
"321","CR252235",0,0,0,23045931.6847714,2328184.11053554
"322","CR252235",0,0,0,87276482.5198395,1757278.0204092
"323","CR252235",58.14,11.92,75.82,32013625885.6156,3698674.4282106
"324","CR252235",74.1,19.6,106.4,365235745.179879,4479323.12910071
"325","CR252235",74.1,19.6,106.4,334831.078146177,15.8360364094842
"326","CR252235",127.1,29.9,173.8,3213.98822363569,0.158021370705683
"327","CR252236",58.05,11.9,78.16,874993.005831481,0.861335962661542
"328","CR252236",74.1,19.6,106.4,35288774178.4346,1952583036.75764
"329","CR252236",52.17,10.69,68.34,18663698.0346891,1373824.95046425
"330","CR252236",52.17,10.69,68.34,6166152202.60102,764612911.256913
"331","CR252236",58.14,11.92,75.82,32013625885.6156,12590204.8656435
"332","CR252236",74.1,19.6,106.4,365235745.179879,97203.8399130888
"333","CR252236",74.1,19.6,106.4,334831.078146177,27.4338757438123
"334","CR252237",58.05,11.9,78.16,874993.005831481,59.9209319729462
"335","CR252237",0.8,0.16,1.05,4328705446.78249,1063565.12991448
"336","CR252237",74.1,19.6,106.4,35288774178.4346,1144223278.91156
"337","CR252237",88.6,21.3,121.8,1582498249.22205,3817454.20413343
"338","CR252237",52.17,10.69,68.34,18663698.0346891,62351.7455355143
"339","CR252237",52.17,10.69,68.34,6166152202.60102,1327239380.93206
"340","CR252237",74.1,19.6,106.4,365235745.179879,395433.811921188
"341","CR252237",74.1,19.6,106.4,334831.078146177,161.972138206466
"342","CR252237",127.1,29.9,173.8,3213.98822363569,4.60317487724474
"343","CR252238",58.05,11.9,78.16,874993.005831481,37.5777552677176
"344","CR252238",0.8,0.16,1.05,4328705446.78249,618329.368382304
"345","CR252238",141.1,33.16,180.64,81257.2630024071,0.57222903566435
"346","CR252238",52.17,10.69,68.34,6166152202.60102,202075502.97023
"347","CR252239",58.05,11.9,78.16,874993.005831481,2.93015256221406
"348","CR252239",62.89,14.78,83.66,864.12132644745,18.4834686591675
"349","CR252239",74.1,19.6,106.4,35288774178.4346,566242980.805543
"350","CR252239",88.6,21.3,121.8,1582498249.22205,5656371.85861121
"351","CR252239",58.28,11.95,76,18925969426.8949,69146459.9513243
"352","CR252239",74.1,19.6,106.4,334831.078146177,104.534925719773
"353","CR252239",127.1,29.9,173.8,3213.98822363569,3.62688921444351
"354","CR252239",0.72,4.64,8.99,43713904184.6993,189973852.694617
