"CR230179","Brazil",607.25
"CR230180","Brazil",560.25
"CR230181","Brazil",534.6
"CR230182","Brazil",577.56
"CR230183","Brazil",541.62
"CR230184","Brazil",634.02
"CR230185","Brazil",241.75
"CR230186","Brazil",246.81
"CR230187","Brazil",625.06
"CR230188","Brazil",583.56
"CR230189","Brazil",567.47
"CR230190","Brazil",621.36
"CR230191","Brazil",627.45
"CR230192","Brazil",637.06
"CR230193","Brazil",640.78
"CR230194","Brazil",669.8
"CR230195","Brazil",626.66
"CR230196","Brazil",549.49
"CR230197","Brazil",591.63
"CR230198","Brazil",617.07
"CR230199","Brazil",564.95
"CR230200","Brazil",499.53
"CR230201","Brazil",469.21
"CR230202","Brazil",375.81
"CR230203","Brazil",328.83
"CR230204","Brazil",352.04
"CR231172","Brazil",495.73
"CR231173","Brazil",336.16
"CR231178","Brazil",573.72
"CR231179","Brazil",548.11
"CR231180","Brazil",574.54
"CR231181","Brazil",518.53
"CR231182","Brazil",471.99
"CR231183","Brazil",561.05
"CR231184","Brazil",554.35
"CR231185","Brazil",472.71
"CR231186","Brazil",267.03
"CR231187","Brazil",459.6
"CR231188","Brazil",616.07
"CR231189","Brazil",639.41
"CR231190","Brazil",608.72
"CR231191","Brazil",587.17
"CR231192","Brazil",561.53
"CR231193","Brazil",565.84
"CR231194","Brazil",577.37
"CR231195","Brazil",484.85
"CR231196","Brazil",531.4
"CR231197","Brazil",626.54
"CR231198","Brazil",529.91
"CR231199","Brazil",490.93
"CR231200","Brazil",476.67
"CR231201","Brazil",497.47
"CR231202","Brazil",433.38
"CR231203","Brazil",440.59
"CR231204","Brazil",405.49
"CR231205","Brazil",325
"CR232172","Brazil",446.32
"CR232173","Brazil",495.75
"CR232174","Brazil",334.92
"CR232175","Brazil",172.85
"CR232177","Brazil",481.68
"CR232178","Brazil",558.24
"CR232179","Brazil",720.22
"CR232180","Brazil",577.4
"CR232181","Brazil",455.97
"CR232182","Brazil",441.43
"CR232183","Brazil",661.33
"CR232184","Brazil",643.16
"CR232185","Brazil",544.77
"CR232186","Brazil",496.21
"CR232187","Brazil",297.7
"CR232188","Brazil",600.74
"CR232189","Brazil",584.85
"CR232190","Brazil",603.18
"CR232191","Brazil",601.93
"CR232192","Brazil",480.4
"CR232193","Brazil",563.89
"CR232194","Brazil",555.35
"CR232195","Brazil",504.56
"CR232196","Brazil",451.69
"CR232197","Brazil",528.59
"CR232198","Brazil",478.18
"CR232199","Brazil",460.11
"CR232200","Brazil",449.02
"CR232201","Brazil",428.11
"CR232202","Brazil",464.45
"CR232203","Brazil",453.04
"CR232204","Brazil",425.26
"CR232205","Brazil",416.78
"CR233173","Brazil",509.92
"CR233174","Brazil",460.65
"CR233175","Brazil",403.17
"CR233176","Brazil",433.77
"CR233177","Brazil",507.24
"CR233178","Brazil",527.77
"CR233179","Brazil",671.15
"CR233180","Brazil",547.09
"CR233181","Brazil",511.99
"CR233182","Brazil",387.53
"CR233183","Brazil",791.18
"CR233184","Brazil",649.48
"CR233185","Brazil",571.51
"CR233186","Brazil",538.57
"CR233187","Brazil",519.51
"CR233188","Brazil",422.35
"CR233189","Brazil",514.78
"CR233190","Brazil",538.93
"CR233191","Brazil",603.93
"CR233192","Brazil",470.37
"CR233193","Brazil",599.07
"CR233194","Brazil",621.25
"CR233195","Brazil",496.97
"CR233196","Brazil",462.63
"CR233197","Brazil",420.53
"CR233198","Brazil",416.63
"CR233199","Brazil",444.45
"CR233200","Brazil",422.78
"CR233201","Brazil",422.33
"CR233202","Brazil",414.99
"CR233203","Brazil",458.58
"CR233204","Brazil",437.55
"CR233205","Brazil",405.61
"CR233206","Brazil",124.8
"CR234173","Brazil",501.76
"CR234174","Brazil",478.57
"CR234175","Brazil",475.73
"CR234176","Brazil",508.82
"CR234177","Brazil",538.05
"CR234178","Brazil",540.23
"CR234179","Brazil",522.74
"CR234180","Brazil",352.97
"CR234181","Brazil",367.6
"CR234182","Brazil",338.86
"CR234183","Brazil",723.85
"CR234184","Brazil",602.52
"CR234185","Brazil",595.04
"CR234186","Brazil",547.5
"CR234187","Brazil",545.2
"CR234188","Brazil",506.88
"CR234189","Brazil",533.52
"CR234190","Brazil",600.45
"CR234191","Brazil",470.45
"CR234192","Brazil",463.07
"CR234193","Brazil",562.34
"CR234194","Brazil",558.84
"CR234195","Brazil",426.9
"CR234196","Brazil",406.53
"CR234197","Brazil",423.08
"CR234198","Brazil",428.63
"CR234199","Brazil",439.93
"CR234200","Brazil",415.52
"CR234201","Brazil",418.59
"CR234202","Brazil",487.79
"CR234203","Brazil",462.17
"CR234204","Brazil",417.37
"CR234205","Brazil",346.66
"CR234206","Brazil",168.06
"CR235172","Brazil",380.05
"CR235173","Brazil",491.55
"CR235174","Brazil",447.44
"CR235175","Brazil",445.39
"CR235176","Brazil",466.33
"CR235177","Brazil",547.18
"CR235178","Brazil",549.93
"CR235179","Brazil",397.19
"CR235180","Brazil",234.12
"CR235181","Brazil",454.61
"CR235182","Brazil",358.54
"CR235183","Brazil",684.06
"CR235184","Brazil",571.4
"CR235185","Brazil",552.05
"CR235186","Brazil",528.84
"CR235187","Brazil",541.41
"CR235188","Brazil",340.62
"CR235189","Brazil",592.48
"CR235190","Brazil",435.49
"CR235191","Brazil",424.81
"CR235192","Brazil",547.53
"CR235193","Brazil",589.83
"CR235194","Brazil",495.24
"CR235195","Brazil",451.47
"CR235196","Brazil",484.29
"CR235197","Brazil",519.85
"CR235198","Brazil",527.58
"CR235199","Brazil",497.86
"CR235200","Brazil",422.77
"CR235201","Brazil",461.29
"CR235202","Brazil",456.8
"CR235203","Brazil",438.37
"CR235204","Brazil",443.64
"CR235205","Brazil",390.39
"CR235206","Brazil",249.79
"CR235207","Brazil",111.85
"CR236172","Brazil",491.66
"CR236173","Brazil",437.77
"CR236174","Brazil",381.2
"CR236175","Brazil",389.85
"CR236176","Brazil",458.27
"CR236177","Brazil",523.76
"CR236178","Brazil",467.09
"CR236179","Brazil",342.15
"CR236180","Brazil",213.08
"CR236181","Brazil",478.49
"CR236182","Brazil",481.15
"CR236183","Brazil",394.78
"CR236184","Brazil",499.12
"CR236185","Brazil",557.67
"CR236186","Brazil",541.1
"CR236187","Brazil",566.05
"CR236188","Brazil",373.6
"CR236189","Brazil",315.04
"CR236190","Brazil",379.16
"CR236191","Brazil",577.35
"CR236192","Brazil",606.68
"CR236193","Brazil",504.88
"CR236194","Brazil",513.37
"CR236195","Brazil",585.24
"CR236196","Brazil",612.22
"CR236197","Brazil",609.45
"CR236198","Brazil",473.47
"CR236199","Brazil",484.13
"CR236200","Brazil",427.42
"CR236201","Brazil",408.26
"CR236202","Brazil",441.15
"CR236203","Brazil",405.53
"CR236204","Brazil",400.91
"CR236205","Brazil",453.04
"CR236206","Brazil",346.71
"CR236207","Brazil",216.65
"CR237172","Brazil",419.72
"CR237173","Brazil",339.09
"CR237174","Brazil",318.63
"CR237175","Brazil",324.53
"CR237176","Brazil",356.4
"CR237177","Brazil",424.23
"CR237178","Brazil",283.04
"CR237179","Brazil",311.56
"CR237180","Brazil",308.91
"CR237181","Brazil",523.06
"CR237182","Brazil",487.05
"CR237183","Brazil",453.18
"CR237184","Brazil",460.32
"CR237185","Brazil",508.89
"CR237186","Brazil",505.71
"CR237187","Brazil",506.69
"CR237188","Brazil",366.73
"CR237189","Brazil",298.54
"CR237190","Brazil",529.07
"CR237191","Brazil",604.69
"CR237192","Brazil",576.02
"CR237193","Brazil",564.69
"CR237194","Brazil",606.23
"CR237195","Brazil",651.91
"CR237196","Brazil",647.07
"CR237197","Brazil",466.11
"CR237198","Brazil",428.44
"CR237199","Brazil",472.14
"CR237200","Brazil",519.34
"CR237201","Brazil",495.73
"CR237202","Brazil",466.98
"CR237203","Brazil",422.74
"CR237204","Brazil",405.14
"CR237205","Brazil",395.13
"CR237206","Brazil",381.61
"CR237207","Brazil",131.8
"CR238172","Brazil",384.16
"CR238173","Brazil",103.25
"CR238174","Brazil",180.25
"CR238175","Brazil",235.07
"CR238176","Brazil",304.86
"CR238177","Brazil",269.91
"CR238178","Brazil",248.8
"CR238179","Brazil",334.4
"CR238180","Brazil",265.46
"CR238181","Brazil",435.78
"CR238182","Brazil",458.03
"CR238183","Brazil",515.53
"CR238184","Brazil",481.46
"CR238185","Brazil",568.23
"CR238186","Brazil",573.94
"CR238187","Brazil",400.77
"CR238188","Brazil",360.43
"CR238189","Brazil",489.97
"CR238190","Brazil",512.12
"CR238191","Brazil",574.87
"CR238192","Brazil",558.33
"CR238193","Brazil",623.45
"CR238194","Brazil",595.1
"CR238195","Brazil",674.09
"CR238196","Brazil",642.31
"CR238197","Brazil",588.28
"CR238198","Brazil",531.75
"CR238199","Brazil",501.1
"CR238200","Brazil",539.61
"CR238201","Brazil",473.8
"CR238202","Brazil",428.14
"CR238203","Brazil",382.44
"CR238204","Brazil",356.37
"CR238205","Brazil",330.13
"CR238206","Brazil",304
"CR238207","Brazil",229.08
"CR238208","Brazil",193.28
"CR239170","Brazil",374.16
"CR239171","Brazil",130.24
"CR239172","Brazil",111.19
"CR239173","Brazil",37.41
"CR239174","Brazil",63.59
"CR239175","Brazil",158.06
"CR239176","Brazil",406.52
"CR239177","Brazil",378.71
"CR239178","Brazil",312.65
"CR239179","Brazil",367.75
"CR239180","Brazil",360.69
"CR239181","Brazil",491.9
"CR239182","Brazil",538.66
"CR239183","Brazil",635.95
"CR239184","Brazil",595.61
"CR239185","Brazil",537.91
"CR239186","Brazil",709.72
"CR239187","Brazil",381.33
"CR239188","Brazil",359.53
"CR239189","Brazil",464.2
"CR239190","Brazil",455.91
"CR239191","Brazil",533.43
"CR239192","Brazil",559.27
"CR239193","Brazil",617.43
"CR239194","Brazil",648.72
"CR239195","Brazil",657.69
"CR239196","Brazil",668.56
"CR239197","Brazil",656.01
"CR239198","Brazil",567.91
"CR239199","Brazil",499.4
"CR239200","Brazil",501.4
"CR239201","Brazil",451.8
"CR239202","Brazil",421.49
"CR239203","Brazil",416.64
"CR239204","Brazil",377.6
"CR239205","Brazil",309.49
"CR239206","Brazil",312.14
"CR239207","Brazil",299.29
"CR239208","Brazil",257.63
"CR239211","Brazil",72.95
"CR240170","Brazil",429.72
"CR240171","Brazil",107.03
"CR240172","Brazil",66.15
"CR240173","Brazil",36.42
"CR240174","Brazil",76.28
"CR240175","Brazil",279.67
"CR240176","Brazil",325.25
"CR240177","Brazil",381.21
"CR240178","Brazil",449.7
"CR240179","Brazil",544.32
"CR240180","Brazil",627.79
"CR240181","Brazil",645.44
"CR240182","Brazil",642.5
"CR240183","Brazil",541.21
"CR240184","Brazil",595.47
"CR240185","Brazil",658.73
"CR240186","Brazil",574.85
"CR240187","Brazil",470.44
"CR240188","Brazil",483.45
"CR240189","Brazil",476.36
"CR240190","Brazil",511.09
"CR240191","Brazil",581.94
"CR240192","Brazil",604.72
"CR240193","Brazil",621.73
"CR240194","Brazil",658.89
"CR240195","Brazil",652.71
"CR240196","Brazil",691.09
"CR240197","Brazil",660.15
"CR240198","Brazil",627.28
"CR240199","Brazil",482.95
"CR240200","Brazil",477.45
"CR240201","Brazil",487.79
"CR240202","Brazil",483.87
"CR240203","Brazil",449.11
"CR240204","Brazil",433.96
"CR240205","Brazil",367.3
"CR240206","Brazil",335.79
"CR240207","Brazil",311.53
"CR240208","Brazil",315.8
"CR240209","Brazil",282.18
"CR240210","Brazil",275.03
"CR240211","Brazil",219.14
"CR240212","Brazil",229.64
"CR240213","Brazil",158.53
"CR241172","Brazil",118.1
"CR241173","Brazil",47.02
"CR241174","Brazil",36.59
"CR241175","Brazil",37.55
"CR241176","Brazil",203.85
"CR241177","Brazil",521.88
"CR241178","Brazil",509.04
"CR241179","Brazil",573.84
"CR241180","Brazil",663.42
"CR241181","Brazil",687.68
"CR241182","Brazil",674.6
"CR241183","Brazil",540.58
"CR241184","Brazil",432.74
"CR241185","Brazil",680.22
"CR241186","Brazil",626.8
"CR241187","Brazil",400.49
"CR241188","Brazil",423.05
"CR241189","Brazil",505.03
"CR241190","Brazil",530.22
"CR241191","Brazil",612.53
"CR241192","Brazil",614.18
"CR241193","Brazil",647.36
"CR241194","Brazil",633.53
"CR241195","Brazil",555.4
